Fixture 6
A1    vs    B11
A2    vs    B12
A3    vs    B13
A4    vs    B14
A5    vs    B15
A6    vs    B16
A7    vs    B17
A8    vs    B18
A9    vs    B19
A10    vs    B20
A11    vs    C1
A12    vs    C2
A13    vs    C3
A14    vs    C4
A15    vs    C5
A16    vs    C6
A17    vs    C7
A18    vs    C8
A19    vs    C9
A20    vs    C10
B1    vs    C11
B2    vs    C12
B3    vs    C13
B4    vs    C14
B5    vs    C15
B6    vs    C16
B7    vs    C17
B8    vs    C18
B9    vs    C19
B10    vs    C20
